"idencuesta","c11_w01","c11_w03","c43_w05","c08_02_w01","c08_02_w02","c08_02_w03","c08_02_w04","c08_02_w05","estrato_disenno","segmento_disenno","ponderador02_w05","par_mov_w01","par_mov_w02","par_mov_w03","par_mov_w04","par_mov_w05","class_part_4"
4102052,2,2,2,1,1,3,1,2,4,410205,2.29265093803406,1,1,2,1,1,"1"
4102055,2,1,2,1,1,1,1,1,4,410205,2.29265093803406,1,1,1,1,1,"3"
4102065,1,1,1,1,1,1,1,1,4,410206,1.58797609806061,1,1,1,1,1,"3"
4102082,2,1,1,1,1,1,1,1,4,410208,1.58797597885132,1,1,1,1,1,"3"
4102083,2,2,2,1,1,1,1,1,4,410208,0.687795281410217,1,1,1,1,1,"1"
4102091,1,1,2,2,2,1,3,1,4,410209,0.952785611152649,1,1,1,2,1,"3"
4102102,1,1,1,1,1,1,1,1,4,410210,10.5865068435669,1,1,1,1,1,"3"
4102121,2,2,2,3,2,2,3,1,4,410212,1.9055712223053,2,1,1,2,1,"4"
4106011,2,2,1,1,1,1,1,1,6,410601,0.0669401362538338,1,1,1,1,1,"1"
4106022,1,2,2,1,1,1,2,1,6,410602,0.0956287607550621,1,1,1,1,1,"1"
4106023,1,1,2,2,1,1,1,1,6,410602,0.127505034208298,1,1,1,1,1,"3"
4106025,2,2,2,2,1,1,3,1,6,410602,0.127505034208298,1,1,1,2,1,"4"
4106032,1,1,1,1,1,1,1,1,6,410603,0.0478143803775311,1,1,1,1,1,"3"
4106053,2,2,2,1,1,1,1,1,6,410605,0.0765030160546303,1,1,1,1,1,"1"
4106062,2,1,2,3,1,1,1,1,6,410606,0.0301028564572334,2,1,1,1,1,"4"
4106063,1,1,1,1,1,1,1,1,6,410606,0.0602057129144669,1,1,1,1,1,"3"
4106065,2,1,2,1,1,1,1,1,6,410606,0.0278004929423332,1,1,1,1,1,"3"
4106071,2,1,2,3,1,1,2,2,6,410607,0.0397416390478611,2,1,1,1,1,"4"
4106083,1,2,1,1,1,1,1,1,6,410608,0.0637525096535683,1,1,1,1,1,"1"
4106094,2,2,2,3,3,2,4,1,6,410609,0.13247212767601,2,2,1,2,1,"4"
