"idencuesta","c11_w01","c11_w03","c43_w05","c08_02_w01","c08_02_w02","c08_02_w03","c08_02_w04","c08_02_w05","par_mov_w01","par_mov_w02","par_mov_w03","par_mov_w04","par_mov_w05","class_part_4"
5801023,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5801032,1,1,1,1,1,1,3,1,1,1,1,2,1,"3"
5801035,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5801042,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5801043,1,1,2,1,1,1,1,1,1,1,1,1,1,"3"
5801051,2,2,1,2,1,1,1,1,1,1,1,1,1,"4"
5801062,1,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5801065,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5801081,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5801082,1,1,1,1,3,2,1,1,1,2,1,1,1,"3"
5801094,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5801096,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5801102,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5801104,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5801106,2,1,1,1,1,1,1,1,1,1,1,1,1,"3"
5801111,1,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5801114,2,1,1,1,1,1,1,1,1,1,1,1,1,"3"
5801131,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
5801143,1,2,2,1,1,1,1,1,1,1,1,1,1,"4"
5801154,1,2,1,3,1,1,1,1,2,1,1,1,1,"4"
